Sample,Genotype,Inoculum,Replicate
Gifu_1,Gifu,SC,R1
Gifu_2,Gifu,SC,R2
Gifu_3,Gifu,SC,R3
MG100_1,MG100,SC,R1
MG100_2,MG100,SC,R2
MG100_3,MG100,SC,R3
MG101_1,MG101,SC,R1
MG101_2,MG101,SC,R2
MG101_3,MG101,SC,R3
MG102_1,MG102,SC,R1
MG102_2,MG102,SC,R2
MG102_3,MG102,SC,R3
MG103_1,MG103,SC,R1
MG103_2,MG103,SC,R2
MG103_3,MG103,SC,R3
MG104_1,MG104,SC,R1
MG104_2,MG104,SC,R2
MG104_3,MG104,SC,R3
MG105_1,MG105,SC,R1
MG105_2,MG105,SC,R2
MG105_3,MG105,SC,R3
MG106_1,MG106,SC,R1
MG106_2,MG106,SC,R2
MG106_3,MG106,SC,R3
MG107_1,MG107,SC,R1
MG107_2,MG107,SC,R2
MG107_3,MG107,SC,R3
MG109_1,MG109,SC,R1
MG109_2,MG109,SC,R2
MG109_3,MG109,SC,R3
MG10_1,MG10,SC,R1
MG10_2,MG10,SC,R2
MG10_3,MG10,SC,R3
MG110_1,MG110,SC,R1
MG110_2,MG110,SC,R2
MG110_3,MG110,SC,R3
MG111_1,MG111,SC,R1
MG111_2,MG111,SC,R2
MG111_3,MG111,SC,R3
MG112_1,MG112,SC,R1
MG112_2,MG112,SC,R2
MG112_3,MG112,SC,R3
MG113_1,MG113,SC,R1
MG113_2,MG113,SC,R2
MG113_3,MG113,SC,R3
MG115_1,MG115,SC,R1
MG115_2,MG115,SC,R2
MG115_3,MG115,SC,R3
MG116_1,MG116,SC,R1
MG116_2,MG116,SC,R2
MG116_3,MG116,SC,R3
MG117_1,MG117,SC,R1
MG117_2,MG117,SC,R2
MG117_3,MG117,SC,R3
MG118_1,MG118,SC,R1
MG118_2,MG118,SC,R2
MG118_3,MG118,SC,R3
MG119_1,MG119,SC,R1
MG119_2,MG119,SC,R2
MG119_3,MG119,SC,R3
MG11_1,MG11,SC,R1
MG11_2,MG11,SC,R2
MG11_3,MG11,SC,R3
MG120_1,MG120,SC,R1
MG120_2,MG120,SC,R2
MG120_3,MG120,SC,R3
MG121_1,MG121,SC,R1
MG121_2,MG121,SC,R2
MG121_3,MG121,SC,R3
MG122_1,MG122,SC,R1
MG122_2,MG122,SC,R2
MG122_3,MG122,SC,R3
MG123_1,MG123,SC,R1
MG123_2,MG123,SC,R2
MG123_3,MG123,SC,R3
MG124_1,MG124,SC,R1
MG124_2,MG124,SC,R2
MG124_3,MG124,SC,R3
MG125_1,MG125,SC,R1
MG125_2,MG125,SC,R2
MG125_3,MG125,SC,R3
MG126_1,MG126,SC,R1
MG126_2,MG126,SC,R2
MG126_3,MG126,SC,R3
MG127_1,MG127,SC,R1
MG127_2,MG127,SC,R2
MG127_3,MG127,SC,R3
MG128_1,MG128,SC,R1
MG128_2,MG128,SC,R2
MG128_3,MG128,SC,R3
MG129_1,MG129,SC,R1
MG129_2,MG129,SC,R2
MG129_3,MG129,SC,R3
MG12_1,MG12,SC,R1
MG12_2,MG12,SC,R2
MG12_3,MG12,SC,R3
MG130_1,MG130,SC,R1
MG130_2,MG130,SC,R2
MG130_3,MG130,SC,R3
MG131_1,MG131,SC,R1
MG131_2,MG131,SC,R2
MG131_3,MG131,SC,R3
MG132_1,MG132,SC,R1
MG132_2,MG132,SC,R2
MG132_3,MG132,SC,R3
MG133_1,MG133,SC,R1
MG133_2,MG133,SC,R2
MG133_3,MG133,SC,R3
MG134_1,MG134,SC,R1
MG134_2,MG134,SC,R2
MG134_3,MG134,SC,R3
MG135_1,MG135,SC,R1
MG135_2,MG135,SC,R2
MG135_3,MG135,SC,R3
MG136_1,MG136,SC,R1
MG136_2,MG136,SC,R2
MG136_3,MG136,SC,R3
MG137_1,MG137,SC,R1
MG137_2,MG137,SC,R2
MG137_3,MG137,SC,R3
MG138_1,MG138,SC,R1
MG138_2,MG138,SC,R2
MG138_3,MG138,SC,R3
MG139_1,MG139,SC,R1
MG139_2,MG139,SC,R2
MG139_3,MG139,SC,R3
MG13_1,MG13,SC,R1
MG13_2,MG13,SC,R2
MG13_3,MG13,SC,R3
MG140_1,MG140,SC,R1
MG140_2,MG140,SC,R2
MG140_3,MG140,SC,R3
MG141_1,MG141,SC,R1
MG141_2,MG141,SC,R2
MG141_3,MG141,SC,R3
MG142_1,MG142,SC,R1
MG142_2,MG142,SC,R2
MG142_3,MG142,SC,R3
MG143_1,MG143,SC,R1
MG143_2,MG143,SC,R2
MG143_3,MG143,SC,R3
MG144_1,MG144,SC,R1
MG144_2,MG144,SC,R2
MG144_3,MG144,SC,R3
MG145_1,MG145,SC,R1
MG145_2,MG145,SC,R2
MG145_3,MG145,SC,R3
MG146_1,MG146,SC,R1
MG146_2,MG146,SC,R2
MG146_3,MG146,SC,R3
MG148_1,MG148,SC,R1
MG148_2,MG148,SC,R2
MG148_3,MG148,SC,R3
MG149_1,MG149,SC,R1
MG149_2,MG149,SC,R2
MG149_3,MG149,SC,R3
MG14_1,MG14,SC,R1
MG14_2,MG14,SC,R2
MG14_3,MG14,SC,R3
MG150_1,MG150,SC,R1
MG150_2,MG150,SC,R2
MG150_3,MG150,SC,R3
MG151_1,MG151,SC,R1
MG151_2,MG151,SC,R2
MG151_3,MG151,SC,R3
MG152_1,MG152,SC,R1
MG152_2,MG152,SC,R2
MG152_3,MG152,SC,R3
MG154_1,MG154,SC,R1
MG154_2,MG154,SC,R2
MG154_3,MG154,SC,R3
MG156_1,MG156,SC,R1
MG156_2,MG156,SC,R2
MG156_3,MG156,SC,R3
MG15_1,MG15,SC,R1
MG15_2,MG15,SC,R2
MG15_3,MG15,SC,R3
MG162_1,MG162,SC,R1
MG162_2,MG162,SC,R2
MG162_3,MG162,SC,R3
MG163_1,MG163,SC,R1
MG163_2,MG163,SC,R2
MG163_3,MG163,SC,R3
MG16_1,MG16,SC,R1
MG16_2,MG16,SC,R2
MG16_3,MG16,SC,R3
MG170_1,MG170,SC,R1
MG170_2,MG170,SC,R2
MG170_3,MG170,SC,R3
MG172_1,MG172,SC,R1
MG172_2,MG172,SC,R2
MG172_3,MG172,SC,R3
MG176_1,MG176,SC,R1
MG176_2,MG176,SC,R2
MG176_3,MG176,SC,R3
MG187_1,MG187,SC,R1
MG187_2,MG187,SC,R2
MG187_3,MG187,SC,R3
MG188_1,MG188,SC,R1
MG188_2,MG188,SC,R2
MG188_3,MG188,SC,R3
MG18_1,MG18,SC,R1
MG18_2,MG18,SC,R2
MG18_3,MG18,SC,R3
MG196_1,MG196,SC,R1
MG196_2,MG196,SC,R2
MG196_3,MG196,SC,R3
MG198_1,MG198,SC,R1
MG198_2,MG198,SC,R2
MG198_3,MG198,SC,R3
MG19_1,MG19,SC,R1
MG19_2,MG19,SC,R2
MG19_3,MG19,SC,R3
MG1_1,MG1,SC,R1
MG1_2,MG1,SC,R2
MG1_3,MG1,SC,R3
MG201_1,MG201,SC,R1
MG201_2,MG201,SC,R2
MG201_3,MG201,SC,R3
MG202_1,MG202,SC,R1
MG202_2,MG202,SC,R2
MG202_3,MG202,SC,R3
MG203_1,MG203,SC,R1
MG203_2,MG203,SC,R2
MG203_3,MG203,SC,R3
MG204_1,MG204,SC,R1
MG204_2,MG204,SC,R2
MG204_3,MG204,SC,R3
MG205_1,MG205,SC,R1
MG205_2,MG205,SC,R2
MG205_3,MG205,SC,R3
MG206_1,MG206,SC,R1
MG206_2,MG206,SC,R2
MG206_3,MG206,SC,R3
MG207_1,MG207,SC,R1
MG207_2,MG207,SC,R2
MG207_3,MG207,SC,R3
MG209_1,MG209,SC,R1
MG209_2,MG209,SC,R2
MG209_3,MG209,SC,R3
MG20_1,MG20,SC,R1
MG20_2,MG20,SC,R2
MG20_3,MG20,SC,R3
MG21_1,MG21,SC,R1
MG21_2,MG21,SC,R2
MG21_3,MG21,SC,R3
MG221_1,MG221,SC,R1
MG221_2,MG221,SC,R2
MG221_3,MG221,SC,R3
MG222_1,MG222,SC,R1
MG222_2,MG222,SC,R2
MG222_3,MG222,SC,R3
MG225_1,MG225,SC,R1
MG225_2,MG225,SC,R2
MG225_3,MG225,SC,R3
MG22_1,MG22,SC,R1
MG22_2,MG22,SC,R2
MG22_3,MG22,SC,R3
MG23_1,MG23,SC,R1
MG23_2,MG23,SC,R2
MG23_3,MG23,SC,R3
MG24_1,MG24,SC,R1
MG24_2,MG24,SC,R2
MG24_3,MG24,SC,R3
MG25_1,MG25,SC,R1
MG25_2,MG25,SC,R2
MG25_3,MG25,SC,R3
MG26_1,MG26,SC,R1
MG26_2,MG26,SC,R2
MG26_3,MG26,SC,R3
MG27_1,MG27,SC,R1
MG27_2,MG27,SC,R2
MG27_3,MG27,SC,R3
MG28_1,MG28,SC,R1
MG28_2,MG28,SC,R2
MG28_3,MG28,SC,R3
MG29_1,MG29,SC,R1
MG29_2,MG29,SC,R2
MG29_3,MG29,SC,R3
MG2_1,MG2,SC,R1
MG2_2,MG2,SC,R2
MG2_3,MG2,SC,R3
MG30_1,MG30,SC,R1
MG30_2,MG30,SC,R2
MG30_3,MG30,SC,R3
MG32_1,MG32,SC,R1
MG32_2,MG32,SC,R2
MG32_3,MG32,SC,R3
MG33_1,MG33,SC,R1
MG33_2,MG33,SC,R2
MG33_3,MG33,SC,R3
MG34_1,MG34,SC,R1
MG34_2,MG34,SC,R2
MG34_3,MG34,SC,R3
MG35_1,MG35,SC,R1
MG35_2,MG35,SC,R2
MG35_3,MG35,SC,R3
MG36_1,MG36,SC,R1
MG36_2,MG36,SC,R2
MG36_3,MG36,SC,R3
MG38_1,MG38,SC,R1
MG38_2,MG38,SC,R2
MG38_3,MG38,SC,R3
MG39_1,MG39,SC,R1
MG39_2,MG39,SC,R2
MG39_3,MG39,SC,R3
MG3_1,MG3,SC,R1
MG3_2,MG3,SC,R2
MG3_3,MG3,SC,R3
MG40_1,MG40,SC,R1
MG40_2,MG40,SC,R2
MG40_3,MG40,SC,R3
MG41_1,MG41,SC,R1
MG41_2,MG41,SC,R2
MG41_3,MG41,SC,R3
MG42_1,MG42,SC,R1
MG42_2,MG42,SC,R2
MG42_3,MG42,SC,R3
MG44_1,MG44,SC,R1
MG44_2,MG44,SC,R2
MG44_3,MG44,SC,R3
MG45_1,MG45,SC,R1
MG45_2,MG45,SC,R2
MG45_3,MG45,SC,R3
MG46_1,MG46,SC,R1
MG46_2,MG46,SC,R2
MG46_3,MG46,SC,R3
MG48_1,MG48,SC,R1
MG48_2,MG48,SC,R2
MG48_3,MG48,SC,R3
MG49_1,MG49,SC,R1
MG49_2,MG49,SC,R2
MG49_3,MG49,SC,R3
MG4_1,MG4,SC,R1
MG4_2,MG4,SC,R2
MG4_3,MG4,SC,R3
MG50_1,MG50,SC,R1
MG50_2,MG50,SC,R2
MG50_3,MG50,SC,R3
MG51_1,MG51,SC,R1
MG51_2,MG51,SC,R2
MG51_3,MG51,SC,R3
MG52_1,MG52,SC,R1
MG52_2,MG52,SC,R2
MG52_3,MG52,SC,R3
MG53_1,MG53,SC,R1
MG53_2,MG53,SC,R2
MG53_3,MG53,SC,R3
MG55_1,MG55,SC,R1
MG55_2,MG55,SC,R2
MG55_3,MG55,SC,R3
MG56_1,MG56,SC,R1
MG56_2,MG56,SC,R2
MG56_3,MG56,SC,R3
MG57_1,MG57,SC,R1
MG57_2,MG57,SC,R2
MG57_3,MG57,SC,R3
MG58_1,MG58,SC,R1
MG58_2,MG58,SC,R2
MG58_3,MG58,SC,R3
MG59_1,MG59,SC,R1
MG59_2,MG59,SC,R2
MG59_3,MG59,SC,R3
MG5_1,MG5,SC,R1
MG5_2,MG5,SC,R2
MG5_3,MG5,SC,R3
MG60_1,MG60,SC,R1
MG60_2,MG60,SC,R2
MG60_3,MG60,SC,R3
MG61_1,MG61,SC,R1
MG61_2,MG61,SC,R2
MG61_3,MG61,SC,R3
MG62_1,MG62,SC,R1
MG62_2,MG62,SC,R2
MG62_3,MG62,SC,R3
MG63_1,MG63,SC,R1
MG63_2,MG63,SC,R2
MG63_3,MG63,SC,R3
MG64_1,MG64,SC,R1
MG64_2,MG64,SC,R2
MG64_3,MG64,SC,R3
MG65_1,MG65,SC,R1
MG65_2,MG65,SC,R2
MG65_3,MG65,SC,R3
MG66_1,MG66,SC,R1
MG66_2,MG66,SC,R2
MG66_3,MG66,SC,R3
MG67_1,MG67,SC,R1
MG67_2,MG67,SC,R2
MG67_3,MG67,SC,R3
MG68_1,MG68,SC,R1
MG68_2,MG68,SC,R2
MG68_3,MG68,SC,R3
MG69_1,MG69,SC,R1
MG69_2,MG69,SC,R2
MG69_3,MG69,SC,R3
MG6_1,MG6,SC,R1
MG6_2,MG6,SC,R2
MG6_3,MG6,SC,R3
MG70_1,MG70,SC,R1
MG70_2,MG70,SC,R2
MG70_3,MG70,SC,R3
MG71_1,MG71,SC,R1
MG71_2,MG71,SC,R2
MG71_3,MG71,SC,R3
MG72_1,MG72,SC,R1
MG72_2,MG72,SC,R2
MG72_3,MG72,SC,R3
MG73_1,MG73,SC,R1
MG73_2,MG73,SC,R2
MG73_3,MG73,SC,R3
MG74_1,MG74,SC,R1
MG74_2,MG74,SC,R2
MG74_3,MG74,SC,R3
MG75_1,MG75,SC,R1
MG75_2,MG75,SC,R2
MG75_3,MG75,SC,R3
MG76_1,MG76,SC,R1
MG76_2,MG76,SC,R2
MG76_3,MG76,SC,R3
MG77_1,MG77,SC,R1
MG77_2,MG77,SC,R2
MG77_3,MG77,SC,R3
MG78_1,MG78,SC,R1
MG78_2,MG78,SC,R2
MG78_3,MG78,SC,R3
MG79_1,MG79,SC,R1
MG79_2,MG79,SC,R2
MG79_3,MG79,SC,R3
MG7_1,MG7,SC,R1
MG7_2,MG7,SC,R2
MG7_3,MG7,SC,R3
MG80_1,MG80,SC,R1
MG80_2,MG80,SC,R2
MG80_3,MG80,SC,R3
MG81_1,MG81,SC,R1
MG81_2,MG81,SC,R2
MG81_3,MG81,SC,R3
MG82_1,MG82,SC,R1
MG82_2,MG82,SC,R2
MG82_3,MG82,SC,R3
MG83_1,MG83,SC,R1
MG83_2,MG83,SC,R2
MG83_3,MG83,SC,R3
MG84_1,MG84,SC,R1
MG84_2,MG84,SC,R2
MG84_3,MG84,SC,R3
MG85_1,MG85,SC,R1
MG85_2,MG85,SC,R2
MG85_3,MG85,SC,R3
MG86_1,MG86,SC,R1
MG86_2,MG86,SC,R2
MG86_3,MG86,SC,R3
MG88_1,MG88,SC,R1
MG88_2,MG88,SC,R2
MG88_3,MG88,SC,R3
MG89_1,MG89,SC,R1
MG89_2,MG89,SC,R2
MG89_3,MG89,SC,R3
MG8_1,MG8,SC,R1
MG8_2,MG8,SC,R2
MG8_3,MG8,SC,R3
MG90_1,MG90,SC,R1
MG90_2,MG90,SC,R2
MG90_3,MG90,SC,R3
MG91_1,MG91,SC,R1
MG91_2,MG91,SC,R2
MG91_3,MG91,SC,R3
MG92_1,MG92,SC,R1
MG92_2,MG92,SC,R2
MG92_3,MG92,SC,R3
MG93_1,MG93,SC,R1
MG93_2,MG93,SC,R2
MG93_3,MG93,SC,R3
MG94_1,MG94,SC,R1
MG94_2,MG94,SC,R2
MG94_3,MG94,SC,R3
MG95_1,MG95,SC,R1
MG95_2,MG95,SC,R2
MG95_3,MG95,SC,R3
MG96_1,MG96,SC,R1
MG96_2,MG96,SC,R2
MG96_3,MG96,SC,R3
MG97_1,MG97,SC,R1
MG97_2,MG97,SC,R2
MG97_3,MG97,SC,R3
MG98_1,MG98,SC,R1
MG98_2,MG98,SC,R2
MG98_3,MG98,SC,R3
MG99_1,MG99,SC,R1
MG99_2,MG99,SC,R2
MG99_3,MG99,SC,R3
MG9_1,MG9,SC,R1
MG9_2,MG9,SC,R2
MG9_3,MG9,SC,R3
SC_1,Input,SC,R1
SC_2,Input,SC,R1
SC_3,Input,SC,R1
SC_4,Input,SC,R2
SC_5,Input,SC,R2
SC_6,Input,SC,R2
SC_7,Input,SC,R3
SC_8,Input,SC,R3
SC_9,Input,SC,R3
Stick_NI_1,Stick,NI,R1
Stick_NI_2,Stick,NI,R1
Stick_NI_3,Stick,NI,R2
Stick_NI_4,Stick,NI,R2
Stick_NI_5,Stick,NI,R3
Stick_NI_6,Stick,NI,R3
Stick_SC_1,Stick,SC,R1
Stick_SC_2,Stick,SC,R1
Stick_SC_3,Stick,SC,R2
Stick_SC_4,Stick,SC,R2
Stick_SC_5,Stick,SC,R3
Stick_SC_6,Stick,SC,R3
